parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
,Paulo Alexandre Luís Botelho Moniz,PPD/PSD.CDS-PP.PPM,Açores,Paulo_Moniz,paulo.moniz.35,,
4363,Agostinho Gonçalves Alves da Santa,PS,Vila Real,,agostinho.santa,,
6543,Alexandra Ludomila Ribeiro Fernandes Leitão,PS,Santarém,Alexandra_Leitão,,,
,Alexandre Tiedke Quintanilha,PS,Porto,Alexandre_Quintanilha,,,
,Ana Catarina Veiga dos Santos Mendonça Mendes,PS,Setúbal,Ana_Catarina_Mendes,MendesAnaCatarina,acmendes73,anacatarinamendes
6532,Ana Manuel Jerónimo Lopes Correia Mendes Godinho,PS,Guarda,Ana_Mendes_Godinho,anamendesgodinho,Ana_M_MG,ana_mendes_godinho
,Ana Maria Pereira Abrunhosa Trigueiros de Aragão,PS,Castelo Branco,Ana_Abrunhosa,,,
,Ana Paula Mata Bernardo,PS,Porto,,,,
5832,Ana Sofia Pedroso Lopes Antunes,PS,Lisboa,,,,
,Anabela Pimenta de Lima de Deus Real,PS,Braga,,,,
6050,André Alexandre Pinotes Batista,PS,Setúbal,André_Pinotes_Batista,andrepinotes.comaforcadetodos,aapbatista,aapb
,António Herminio Carvalho Monteirinho,PS,Guarda,,,,
6197,António Lacerda Sales,PS,Leiria,António_Lacerda_Sales,antoniolacerdasales,,
156,António Luís Santos da Costa,PS,Lisboa,António_Costa,antoniolscosta,antoniocostaps,antoniocostaps
,António Manuel Veiga dos Santos Mendonça Mendes,PS,Setúbal,,,,
1278,Augusto Ernesto Santos Silva,PS,Fora da Europa,Augusto_Santos_Silva,augusto.santossilva.7,PSdiaspora,
,Berta Ferreira Milheiro Nunes,PS,Bragança,Berta_Nunes,BERTA2019NUNES,,
7083,Bruno Armando Aragão Henriques,PS,Aveiro,Bruno_Aragão,,,
5933,Carla Alexandra Magalhães de Sousa,PS,Porto,Carla_Sousa,,,
6661,Carlos Alberto Silva Brás,PS,Porto,Carlos_Brás,carlosbraspolis,carlitosbras,
1554,Carlos Filipe de Andrade Neto Brandão,PS,Aveiro,Filipe_Neto_Brandão,filipenetobrandao,filipenb,
6187,Carlos João Pereira,PS,Madeira,Carlos_Pereira,CarlosPereiraaPresidente,carlosp02740287,cjoaopereira
,Catarina Teresa Rola Sarmento e Castro,PS,Leiria,Catarina_Sarmento_e_Castro,,,
7250,Clarisse Maria Gaudino Veredas Campos,PS,Setúbal,Clarisse_Campos,clarisse.campos.79,,clarissevcampos
6859,Cláudia Maria Cruz Santos,PS,Aveiro,Cláudia_Santos,claudia.oliveirasantos.5,,
7015,Cristina Maria Mendes da Silva,PS,Porto,Cristina_Mendes_da_Silva,cristina.deputada.Lousada,,
,Edite de Fátima Santos Marreiros Estrela,PS,Lisboa,Edite_Estrela,editeestrela,editeestrela,
,Eduardo Miguel Oliveira Alves,PS,Portalegre,,,,
,Eduardo Nuno Rodrigues e Pinheiro,PS,Porto,,,,
,Eduardo Salvador da Costa Oliveira,PS,Braga,,Eduardo.Salvador.Oliveira,,
5600,Eurico Jorge Nogueira Leite Brilhante Dias,PS,Leiria,,EuricoBrilhanteDias,EBrilhanteDias,
4186,Eurídice Maria de Sousa Pereira,PS,Setúbal,Eurídice_Pereira,,,
3930,Fernando Medina Maciel Almeida Correia,PS,Lisboa,Fernando_Medina,fmedinalisboa,fmedinalisboa,fmedinalisboa
